km,Time,Nutrition,V1,time [s]
1,0:05:30,,0:05:30,330
2,0:11:00,,0:05:15,330
3,0:16:30,,0:05:00,330
4,0:22:00,,,330
5,0:27:30,Ludek: Gel 1,,330
6,0:33:00,,,330
7,0:38:30,,,330
8,0:44:00,,,330
9,0:49:30,,,330
10,0:55:00,Julie: Gel 2,,330
11,1:00:30,,,330
12,1:06:00,,,330
13,1:11:30,,,330
14,1:17:00,,,330
15,1:22:30,,,315
16,1:27:45,Station gel,,315
17,1:33:00,,,315
18,1:38:15,,,315
19,1:43:30,,,315
20,1:48:45,Julie: Gel 3,,315
21,1:54:00,,,315
22,1:59:15,,,315
23,2:04:30,,,315
24,2:09:45,,,315
25,2:15:00,,,315
26,2:20:15,,,315
27,2:25:30,Station gel,,315
28,2:30:45,,,315
29,2:36:00,,,315
30,2:41:00,Julie: Gel 4,,300
31,2:46:00,,,300
32,2:51:00,,,300
33,2:56:00,,,300
34,3:01:00,,,300
35,3:06:00,,,300
36,3:11:00,,,300
37,3:16:00,,,300
38,3:21:00,Julie: Gel 5,,300
39,3:26:00,,,300
40,3:31:00,,,300
41,3:36:00,,,300
42,3:41:00,,,300
